source,target,source_type,target_type
https://triprindia.com/collections/all,https://triprindia.com/,collection,home
https://triprindia.com/collections/all,https://triprindia.com/account/login,collection,other
https://triprindia.com/collections/all,https://triprindia.com/blogs/news,collection,blog
https://triprindia.com/collections/all,https://triprindia.com/cart,collection,other
https://triprindia.com/collections/all,https://triprindia.com/collections,collection,other
https://triprindia.com/collections/all,https://triprindia.com/collections/all-tshirt/T-Shirts,collection,collection
https://triprindia.com/collections/all,https://triprindia.com/collections/bottom-wear,collection,collection
https://triprindia.com/collections/all,https://triprindia.com/collections/cargo-pants-for-men,collection,collection
https://triprindia.com/collections/all,https://triprindia.com/collections/combos,collection,collection
https://triprindia.com/collections/all,https://triprindia.com/collections/hooded-t-shirt,collection,collection
https://triprindia.com/collections/all,https://triprindia.com/collections/jacket,collection,collection
https://triprindia.com/collections/all,https://triprindia.com/collections/kids-tshirt,collection,collection
https://triprindia.com/collections/all,https://triprindia.com/collections/men-innerwear-trunks,collection,collection
https://triprindia.com/collections/all,https://triprindia.com/collections/new-collections,collection,collection
https://triprindia.com/collections/all,https://triprindia.com/collections/oversized-tshirt,collection,collection
https://triprindia.com/collections/all,https://triprindia.com/collections/polos,collection,collection
https://triprindia.com/collections/all,https://triprindia.com/collections/printed-vest,collection,collection
https://triprindia.com/collections/all,https://triprindia.com/collections/shirts,collection,collection
https://triprindia.com/collections/all,https://triprindia.com/collections/shorts,collection,collection
https://triprindia.com/collections/all,https://triprindia.com/collections/sweatshirt-for-mens,collection,collection
https://triprindia.com/collections/all,https://triprindia.com/collections/t-shirt,collection,collection
https://triprindia.com/collections/all,https://triprindia.com/collections/top-sellers,collection,collection
https://triprindia.com/collections/all,https://triprindia.com/collections/track-pants-for-men,collection,collection
https://triprindia.com/collections/all,https://triprindia.com/collections/track-suite,collection,collection
https://triprindia.com/collections/all,https://triprindia.com/collections/vendors,collection,collection
https://triprindia.com/collections/all,https://triprindia.com/pages/about-us,collection,page
https://triprindia.com/collections/all,https://triprindia.com/pages/buy-3-for-799,collection,page
https://triprindia.com/collections/all,https://triprindia.com/pages/privacy-policy,collection,page
https://triprindia.com/collections/all,https://triprindia.com/pages/return-exchange,collection,page
https://triprindia.com/collections/all,https://triprindia.com/pages/terms-conditions,collection,page
https://triprindia.com/collections/all,https://triprindia.com/pages/track-order,collection,page
https://triprindia.com/collections/all,https://triprindia.com/pages/travel-jacket,collection,page
https://triprindia.com/collections/all,https://triprindia.com/policies/privacy-policy,collection,other
https://triprindia.com/collections/all,https://triprindia.com/policies/refund-policy,collection,other
https://triprindia.com/collections/all,https://triprindia.com/policies/shipping-policy,collection,other
https://triprindia.com/collections/all,https://triprindia.com/policies/terms-of-service,collection,other
https://triprindia.com/collections/all,https://triprindia.com/products/mens-casual-co-ord-tracksuit-set-with-zip-neck-t-shirt,collection,product
https://triprindia.com/collections/all,https://triprindia.com/products/mens-white-high-neck-full-hand-tshirt,collection,product
https://triprindia.com/collections/all,https://triprindia.com/products/pack-of-2-half-sleeve-printed-t-shirts-d173-olive-green-d184-beige,collection,product
https://triprindia.com/collections/all,https://triprindia.com/products/pack-of-2-men-printed-track-pant-black-grey,collection,product
https://triprindia.com/collections/all,https://triprindia.com/products/pack-of-2-men-round-neck-printed-vest-black-04,collection,product
https://triprindia.com/collections/all,https://triprindia.com/products/pack-of-2-mens-cotton-blend-solid-grey-black-joggers,collection,product
https://triprindia.com/collections/all,https://triprindia.com/products/pack-of-2-multi-pockets-plain-baggy-cargos-beige-black,collection,product
https://triprindia.com/collections/all,https://triprindia.com/products/pack-of-3-mens-printed-short-6-variants,collection,product
https://triprindia.com/collections/all,https://triprindia.com/products/pack-of-two-quarter-zip-polo-printed-half-sleeve-tshirts,collection,product
https://triprindia.com/collections/all,https://triprindia.com/products/round-neck-tshirts,collection,product
https://triprindia.com/collections/all,https://triprindia.com/products/tripr-solid-men-dark-blue-grey-track-pants,collection,product
https://triprindia.com/collections/all,https://triprindia.com/search,collection,other
